,Mean,Median,5perc,95perc
CNRM-CM6-1 r1,3.950096613348513,3.825878043,2.6848965827,5.629216747000001
CNRM-CM6-1 r2,5.4367658048318415,5.22028617,3.66898480805,7.896643177
CNRM-CM6-1 r3,3.8646128234255657,3.79243745,2.78267596155,5.1808536345
CNRM-CM6-1 r4,3.9447633629195,3.847320315,2.8430085168,5.3585792405
CNRM-CM6-1 r5,3.213261082510193,3.077232697,1.91058856,4.982450062500001
CNRM-CM6-1 r6,4.10541606498342,3.994891122,2.85831189985,5.693918698500001
CNRM-CM6-1 r7,4.289260887369394,4.172808005,2.94340397955,6.0458675765
CNRM-CM6-1 r8,4.104223845921184,3.9994210185,2.6720098061,5.873928200000001
CNRM-CM6-1 r9,3.97704681955054,3.872221212,2.9524771058,5.352591308000001
CNRM-CM6-1 r10,4.060403841016763,3.9707266615,2.9446823475,5.476156049499999
CNRM-CM6-1 r11,4.580361540956118,4.392419665,3.06407293965,6.7053838555
CNRM-CM6-1 r12,3.6725168224818288,3.5409368665,2.3732301396499995,5.387488533499999
CNRM-CM6-1 r13,4.2078276439282885,4.06514151,2.75521636375,6.120612172
CNRM-CM6-1 r14,4.079481564418421,3.913512984,2.6195607304,6.095365613
CNRM-CM6-1 r15,4.265096940239092,4.13808341,2.83637310965,6.12352263
CNRM-CM6-1 r16,3.338852795419105,3.2376681855,2.19404421195,4.81412931
CNRM-CM6-1 r17,4.262446547174816,4.16074392,3.06529414505,5.8082648510000014
CNRM-CM6-1 r18,3.454981933509316,3.3277388005,2.1377499873500003,5.204721756
CNRM-CM6-1 r19,3.234047750715907,3.116011803,1.9887874497,4.8519710785
CNRM-CM6-1 r20,3.7655255001424335,3.617913027,2.4387823916,5.568580734999999
CNRM-CM6-1 r21,5.099159367859803,4.931866919999999,3.50407263575,7.235270669
CNRM-CM6-1 r22,4.654083030116106,4.49857439,3.1378148547,6.671007529000001
CNRM-CM6-1 r23,4.108949687040078,4.02665754,2.97172292035,5.514985481
CNRM-CM6-1 r24,3.5490733859194865,3.463953087,2.35363338995,5.0327446855
CNRM-CM6-1 r25,4.707972078016591,4.51234072,3.0038144892,7.0195749745
CNRM-CM6-1 r26,3.860966674484816,3.7678234685,2.72274290255,5.301576088
CNRM-CM6-1 r27,4.21477199310729,4.0622964150000005,2.8547445036,6.0745855925
CNRM-CM6-1 r28,4.174547023124605,4.016602465,2.68558471875,6.1733314415
CNRM-CM6-1 r29,5.071081534425052,4.815763385,3.2217224205,7.744988987
CNRM-CM6-1 r30,4.249673933670815,4.10451971,2.8225353415,6.1434605505
HadGEM3-GC31-LL r1,6.993973136024369,6.790821455000001,4.6443024375,10.019766740500003
HadGEM3-GC31-LL r2,4.614389815007067,4.440888925,2.8521468629500006,6.961110865500001
HadGEM3-GC31-LL r3,2.9405308992954344,2.852828649,1.89534061585,4.276724661
HadGEM3-GC31-LL r4,2.976248534769632,2.8940068740000005,1.8893624981,4.342360940500001
NorESM2-MM r1,2.7178683811226083,2.58057853,1.4461528339,4.464980495000001
NorESM2-MM r2,1.4995790744331738,1.457951764,0.887338134,2.2524375967
NorESM2-MM r3,1.7092227880456814,1.6569045079999998,0.9599667183,2.6308134944000003
NorESM2-LM r1,1.713821330599363,1.6387156749999998,0.9217561165,2.756037548000001
NorESM2-LM r2,1.3409901295283817,1.293294365,0.763574488,2.086343466
NorESM2-LM r3,1.0936281448029472,1.053075775,0.523834819,1.803826119
